 (Half Day),（半天）
"This Account has '0' balance in either Base Currency or Account Currency",本科目本币或外币余额为0
"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".","此为物料和销售订单的默认计量单位。如果不设置则系统默认计量单位是""""个""""。"
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",该仓库将用于创建销售订单。默认仓库是“商店”。
"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""",将追加到多规格物料。例如，如果你的英文简称为“SM”，而该料号是“T-SHIRT”，该多规格物料将是“T-SHIRT-SM”
"Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}",时隙滑动，时隙{0}到{1}与现有时隙{2}重叠到{3}
"Timesheets help keep track of time, cost and billing for activites done by your team",工时表可用于记录团队工时，发生的费用以及据此开票
"To add dynamic subject, use jinja tags like<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",要添加动态主题，请使用jinja标签<div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
"To add dynamic subject, use jinja tags like<div><pre><code>{{ doc.name }} Delivered</code></pre></div>",要添加动态主题，用Jinja标签，如<div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>
"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.",要允许超订单金额开票，请在“会计设置”或“物料基础资料”中更新“发票超金额控制(%)”。
"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the Item.",要允许超量收货/出货，请在库存设置或物料基础资料中更新“出入库超量控制”。
"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the {0},要允许超量收货/出货，请在库存设置或物料基础资料中更新“出入库超量控制”。
"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.",要允许超额开票或收发货，请在库存设置或物料基础资料中更新“出入库超量控制(%)”。
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" fieldof this",被生成。如果延迟，您将不得不手动更改“每月重复”字段
"To configure Auto Repeat, enable Allow Auto Repeat"" from""",要配置自动重复，请在定制表单中勾选允许自动重复
"To filter based on Party, select Party Type first",如果基于往来单位过滤，请先选择往来类型
"To format columns, give column labels in the query.",要格式化列，在查询中为列添加标签。
"To get the best out of ERPNext, we recommend that you take some time and watch these help videos.",为了用好ERPNext，我们建议您花一些时间来观看这些帮助视频。
"To get the updated report, click on {0}.",要获取已更新报表，请单击{0}。
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",第{0}行的物料单价要含税，第{1}行的税也必须包括在内
"To know more about projected quantity, <a href=""https://erpnext.com/docs/user/manual/en/stock/projected-quantity"" style=""text-decoration: underline;"" target=""_blank"">click here</a>.","欲了解更多预期数量逻辑, <a href=""https://erpnext.com/docs/user/manual/en/stock/projected-quantity"" style=""text-decoration: underline;"" target=""_blank"">请点这儿</a>."
"To make material requests, 'Make Material Request for Warehouse' field is mandatory",计算原材料需求前请先输入仓库字段
"To merge, following properties must be same for both items",若要合并，两个物料的以下属性必须相同
"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.",要让一个特定的交易不使用动态定价规则，所有适用的动态定价规则应被打上禁用标志。
"To renew, {0}.",要续订，{0}。
"To set this Fiscal Year as Default, click on 'Set as Default'",要设置这个财年为默认值，点击“设为默认”
"To still proceed with editing this Attribute Value, enable {0} in Item Variant Settings.",如需修改属性值，请在库存模块的“物料多规格设置”中勾选 允许重命名属性值。,
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document",要停止从系统发送重复性错误通知，我们在自动重复单据中选中了“禁用标记”字段
"Too many users signed up recently, so the registration is disabled. Please try back in an hour",最近有太多用户注册，导致注册功能被自动临时禁用了，请一个小时后重试。
"Total Payment Amount in Payment Schedule must be equal to Grand / Rounded Total",付款计划汇总金额与总计(圆整后)金额不符
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'",全部分摊基准{0}合计为零，可能你需要修改“费用分摊基准”
"Track if your email has been opened by the recipient.<br>Note: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""",跟踪收件人是否已打开您的电子邮件。 <br>注意：如果您要向多个收件人发送邮件，即使有1个收件人阅读该邮件，也会被视为“已打开”
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)",在有效的方法如：“before_insert”，“after_update”触发（取决于所选的单据类型）
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",未知文件编码。已经尝试使用UTF-8，windows-1250，windows-1252编码。
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.",通过后台程序基于最新成本价/标价/最近原材料采购价自动更新BOM成本。
"Update BOM cost automatically via scheduler, based on the latest Valuation Rate/Price List Rate/Last Purchase Rate of raw materials",通过后台程序基于原材料最新成本价/标价/采购价自动更新BOM成本,
"Upload a bank statement, link or reconcile a bank account",上传银行对账单，关联或核销银行账户
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook",的URI，用于接收授权代码一旦用户允许访问，以及失败的响应。通常，REST端点的客户端应用程序暴露出来。 <br>例如http：//hostname//api/method/frappe.www.login.login_via_facebook
"URL for ""All Products""",网址“所有产品”
"Use a few words, avoid common phrases.",用几个字，避免常用短语。
"Valuation Rate for the Item {0}, is required to do accounting entries for {1} {2}.",要为{1} {2}生成会计凭证，物料{0}须有成本价
"Valuation rate not found for the Item {0}, which is required to do accounting entries for {1} {2}. If the item is transacting as a zero valuation rate item in the {1}, please mention that in the {1} Item table. Otherwise, please create an incoming stock transaction for the item or mention valuation rate in the Item record, and then try submiting/cancelling this entry",日记账凭证{1}{2}需要物料{0}的成本价信息，请先在物料基础资料中维护成本价，或在本单据的物料行上勾选允许成本价为0，或者先对该物料做一笔有金额的收货由系统自动生成成本价.
"Values of exempt, nil rated and non-GST inward supplies",豁免，零税率和非商品及服务税内向供应的价值
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}",在第{0}行，需要仓库，请为公司{2}的物料{1}设置默认仓库
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.",仓库{0}未与任何科目关联，请在仓库或公司{1}基础资料中设置默认库存科目。
"Weight is mentioned,\nPlease mention ""Weight UOM"" too",重量被提及，\n请注明“重量单位”
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.",当所选的业务状态更改为“已提交”时，自动打开一个弹出窗口向有关的联系人编写邮件，业务将作为附件添加。用户可以选择发送或者不发送邮件。
"When enabled this will allow guests to upload files to your application, You can enable this if you wish to collect files from user without having them to log in, for example in job applications web form.",允许访问不登录系统的情况下上传文件，通常用于收集申请表之类的资料
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.",当你修订一个已取消和保存的单据时，单据会复制为一个副本。
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA",在为子公司{0}创建科目时，找不到父(上级)科目{1}。请在相应的科目表中创建父科目
"You are selecting Sync Option as ALL, It will resync all \				read as well as unread message from server. This may also cause the duplication\				of Communication (emails).",你是所有选择同步选项，它会重新同步所有\读取以及未读邮件从服务器。这也可能会导致通信（电子邮件）的重复数据删除\。
"You can change Submitted documents by cancelling them and then, amending them.",您可以通过撤销已提交的文件，然后再修订单据。
"You can claim only an amount of {0}, the rest amount {1} should be in the application \				as pro-rata component",您只能声明一定数量的{0}，剩余数量{1}应该在应用程序中作为按比例分量
"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ",你可以在这里定义所有需要进行的作业。日场是用来提及任务需要执行的日子，1日是第一天等。
"You need to have ""Share"" permission",你需要有“分享”权限
"Your download is being built, this may take a few moments...",您的下载正在生成，这可能需要一些时间......
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.",您的问题已收到。我们将尽快回复邮件。如果您还有任何其他的信息，请回覆此邮件。
"Your session has expired, please login again to continue.",您的会话已过期，请再次登录以继续。
"Your subscription expired on {0}. To renew, please send an email to {1}.",您的订阅过期于{0}。要续订，请发电子邮件至{1}。
"Your subscription expired on {0}. To renew, {1}.",您的订阅过期于{0}。要续订，{1}。
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.",{0} 当前的供应商记分卡评级为{1}，请谨慎下单给该供应商。
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0}当前的供应商记分卡评级为{1}，请谨慎向该供应商询价。
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",{0}字段不能在{1}中设置为唯一，因为这里存在非唯一的数值
"{0} indicates that {1} will not provide a quotation, but all items \					have been quoted. Updating the RFQ quote status.",{0}表示{1}不会提供报价，但所有物料都已报价。更新询价状态。
"{0} is mandatory for generating remittance payments, set the field and try again",{0}是生成汇款付款的必填项，请设置该字段并重试
"{0} must begin and end with a letter and can only contain letters,				hyphen or underscore.",{0}必须以字母开头和结尾，并且只能包含字母，连字符或下划线。
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1}不能为“{2}”。只能是“{3}”其中一个
"{0} {1} does not exist, select a new target to merge",{0} {1}不存在，选择一个新的目标合并
"{0} {1} has accounting entries in currency {2} for company {3}. Please select a receivable or payable account with currency {2}.",为{0} {1}指定了非公司{3}本币{2}的科目。请选择币种为{2}的应收/付科目。,
"{0} {1} is associated with {2}, but Party Account is {3}",{0} {1}与{2}相关联，但业务伙伴科目为{3}
"{0}, Row {1}",{0}，第{1}行
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}",{0}：“{1}”（{3}）将被截断，因最大允许字符数为{2}
"{0}: Cannot set Submit, Cancel, Amend without Write",{0} ：没有写入的情况下不能设置“提交”，“取消”，“修订”
"{0}: Employee email not found, hence email not sent",{0}：未设置员工电子邮箱，未发电子邮件通知
"{0}: Fieldname cannot be one of {1}","{0} 字段名不能是{1},{0}之一"
"{0}: Only one rule allowed with the same Role, Level and {1}",{0}：具有相同的角色，级别和允许只有一个规则{1}
%  Delivered,已出货%
% Amount Billed,已开票%
% Billed,已开票%
% Complete Method,完成百分比法
% Completed,已完成%
% Installed,已安装％
% of materials billed against this Sales Order,此销售订单%的物料已开票。
% of materials delivered against this Delivery Note,此出货单% 的物料已出货。
% of materials delivered against this Sales Order,此销售订单% 的物料已出货。
% Ordered,已下单%
% Picked,已拣货%
% Process Loss,制程损耗%
% Progress,进度%
% Received,已收货%
% Returned,已退货%
%s is not a valid report format. Report format should \				one of the following %s,%s 不是有效的报表格式. 报表格式应以 \ 开头然后才是 %s
&gt; {0} year(s) ago,&gt; {0}年前
'Actual Start Date' can not be greater than 'Actual End Date',“实际开始日期”不能大于“实际结束日期'
'Based On' and 'Group By' can not be same,“根据”和“分组依据”不能相同
'Date' is required,&#39;日期&#39;是必需的
'Days Since Last Order' must be greater than or equal to zero,“ 最后的订单到目前的天数”必须大于或等于零
'employee_field_value' and 'timestamp' are required.,&#39;employee_field_value&#39;和&#39;timestamp&#39;是必需的。
'Entries' cannot be empty,“分录”不能为空
'Expected Start Date' can not be greater than 'Expected End Date',“预计开始日期”不能大于“预计结束日期'
'From Date' is required,“开始日期”是必需的
'From Date' must be after 'To Date',“开始日期”必须早于'终止日期'
'Has Serial No' can not be 'Yes' for non-stock item,不能为非库存物料勾选'启用序列号管理'
'If source warehouse selected then system will create the material request with type Material Transfer from Source to Target warehouse. If not selected then will create the material request with type Purchase for the target warehouse.',如果指定转出仓且有相应数量，系统会创建自转出仓至收料仓调拨类型的物料需求，否则将针对收料仓创建采购类型的物料需求
'In Global Search' not allowed for type {0} in row {1},行{1}中的类型{0}不允许“全局搜索”
'In List View' not allowed for type {0} in row {1},行{1}中的类型{0}不允许选择“在列表视图中显示”
'Recipients' not specified,&#39;收件人&#39;未指定
'Successfully merged {0} out of {1}.',待合并{1}，已成功合并{0}
'This is a Template BOM and will be used to make the work order for {0} of the item {1}',此模板BOM可被基于模板物料的多规格物料直接引(使)用
'To Case No.' cannot be less than 'From Case No.','结束箱号'不能小于'开始箱号'
'To Date' is required,“结束日期”必需设置
'Total',&#39;总&#39;
'Update Stock' cannot be checked for fixed asset sale,固定资产销售不能选择“更新库存”
(Ca+Mg)/K,（钙+镁）/ K
(Ctrl + G),（按Ctrl + G）
(Hour Rate / 60) * Actual Operation Time,（小时费率/ 60）*实际工序时间
(including),（包含）
) for {0},）为{0}
* Will be calculated in the transaction.,*将被计算在该交易内。
** Failed: {0} to {1}: {2},**失败：{0} {1}：{2}
**Currency** Master,** 货币**管理
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**财年**表示财年。所有的会计分录和其他重大交易将根据**财年**跟踪。
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**针对业务有季节性波动的情况，帮助你按月分配预算/目标
--Select a group--,选择分组方式
-Above,-天以上
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草稿; 1 - 已提交; 2 - 已取消
0 is highest,0是最高的
01-Sales Return,01-销售退货
02-Post Sale Discount,02-售后折扣
03-Deficiency in services,03-服务质量不达标
04-Correction in Invoice,04-发票纠正
05-Change in POS,05-更改POS
06-Finalization of Provisional assessment,06-定期评估
07-Others,07，其他
1 comment,1条评论
1 Currency = [?] Fraction For e.g. 1 USD = 100 Cent,1 货币单位 = [?] 小数 例如. 1 元 = 100 分
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1货币单位= [？]小额单位。例如1美元= 100美分
1 exact match.,1完全匹配。
1 hour ago,1小时前
1 Loyalty Points = How much base currency?,多少钱积1分
1 minute ago,1分钟前
1 month ago,一个月前
1 month,1个月
1 record will be exported,将导出一笔记录
1 star being lowest & 5 stars being highest rating,1星表示最低和5星为最高评价
1 week ago,一周前
1 week,1周
1 weeks ago,一周前
1 year ago,一年前
1 year,1年
121-Above,121天以上
2 days ago,2天前
2 Yearly,每年2次
22210101 - 进项税额 @ 13.0 Amount,税额
22210101 - 进项税额 @ 13.0 Rate,税率
22210102 - 销项税额 @ 13.0 Amount,税额
22210102 - 销项税额 @ 13.0 Rate,税率
3 months,3个月
5 Records,5笔记录
6 months,6个月
90-Above,90以上
; not allowed in condition,不满足条件
<=,小于等于
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>示例：</b> SAL- {first_name}  -  {date_of_birth.year} <br>这将生成一个像SAL-Jane-1972的密码
<b>{0}</b> has been successfully unsubscribed from this mailing list.,<b>{0}</b>已成功地从这个邮件列表退订。
<p>No results found for '</p>,<p>找不到符合条件的结果</p>
<p>No results found for '{0}' in Global Search</p>,<p>全局检索关键字 '<b>{0}</b>' 未找到匹配资料</p>
?Allow Self Enroll,允许自助注册
[Error],[错误]
[Label]:[Field Type]/[Options]:[Width],[标签]：[字段类型] / [选项]：[宽]
[Select],[选择]
[Urgent] Error while creating recurring %s for %s,[紧急]为％s创建循环％s时出错
[{0}](#Form/Item/{0}) is out of stock,[{0}](#Form/Item/{0}) 超出了库存
_report,_报表
`Freeze Stocks Older Than` should be smaller than %d days.,`冻结老于此天数的库存`应该比％d天小。
A condition for a Shipping Rule,发货规则的一个条件
A Customer Group exists with same name please change the Customer name or rename the Customer Group,同名的客户组已经存在，请更改客户姓名或重命名该客户组
A customer with the same name already exists,已存在同名客户
A Default Service Level Agreement already exists.,已存在默认服务级别协议。
a few seconds ago,几秒钟前
A Lead requires either a person's name or an organization's name,个人姓名或机构名称是线索的必填信息
A Lead with this Email Address should exist,该电子邮件地址对应的线索应存在
A link to all the Locations in which the Crop is growing,指向作物生长的所有位置的链接
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,资源的列表，它的客户端应用程序必须将用户允许后访问。 <br>如项目
A log of request errors,错误请求的日志
A logical Warehouse against which stock entries are made.,创建物料移动所依赖的逻辑仓库。
A Negative,A-
A new account has been created for you at {0},已为您创建新账户{0}
A new document {0} has been shared by with you {1}.,已与您{1}分享了一个新单据{0}。
A Positive,A+
A Product,一个产品
A question must have more than one options,一个问题必须有多个选项
A qustion must have at least one correct options,Qustion必须至少有一个正确的选项
A symbol for this currency. For e.g. $,货币符号。例如$
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,授权销售公司产品的第三方分销商/经销商/授权代理商/分支机构/转销商
A user who posts blogs.,发布博客的用户。
A word by itself is easy to guess.,很容易猜到的一个字
A {0} exists between {1} and {2} (,{1}和{2}之间存在{0}（
AB Negative,AB-
AB Positive,AB+
Abbr can not be blank or space,简称不能为空
Abbr,简称
Abbreviation already used for another company,简称已用于另一家公司
Abbreviation cannot have more than 5 characters,简称不能超过5个字符
Abbreviation is mandatory,简称字段必填
Abbreviation,简称
Abdomen,腹部
About the Company,关于本公司
About Us Settings,关于我们设置
About Us Team Member,关于我们 团队成员
About your Company,关于本公司
About,关于
Above,以上
Absent Student Report,缺勤学生报表
Absent,缺勤
Academic Term,学期
Academic Term: ,学期：
Academic Year Name,学年名称
Academic Year,学年
Academic Year: ,学年：
Academic,学习
Academics User,培训教管
Accept Payment,接受支付
Acceptance Criteria Formula,实收条件公式
Acceptance Criteria Value,实收条件值
Acceptance Criteria,验收标准
Accepted + Rejected Qty must be equal to Received quantity for Item {0},已接收+已拒收数量须等于物料{0}的已接收数量
Accepted Qty as per Stock UOM,接收数量(库存单位)
Accepted Qty in Stock UOM,接受数量(库存单位)
Accepted Qty,已接收数量
Accepted Quantity,实收数量
Accepted Warehouse,仓库
Accepted,已接受
Access Key ID,访问密钥ID
Access Log,访问记录
Access token or Shopify URL missing,访问令牌或Shopify网址丢失
Access Token URL,访问令牌URL
Access Token,访问令牌
Accessable Value,可访问的价值
Account Balance (From),源科目余额
Account Balance (To),目标科目余额
Account Balance,科目余额
Account Closing Balance,科目结账余额
Account Currency (From),源科目币种
Account Currency (To),目标科目币种
Account Currency,科目币别
Account Details,科目信息
Account for Change Amount,零钱科目
Account Head,科目
Account Info,科目信息
Account is mandatory to get payment entries,请输入科目以获取收付款凭证
Account is not set for the dashboard chart {0},尚未为统计图表{0}设置科目
Account Manager,客户经理
Account Name,科目名称
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,科目{0}的科目号码不可用。 <br>请正确设置您的会计科目表。
Account Number {0} already used in account {1},已在科目{1}中使用的科目代码{0}
Account Number,科目代码
Account Opening Balance,账户期初余额
Account Paid From,贷方科目
Account Paid To,借方科目
Account Pay Only,账户仅用于支付
Account SID,账户SID
Account Subtype,账户子类型
Account Type for {0} must be {1},{0}的科目类型必须为{1}
Account Type,账户类型
Account Value,会计账金额,
Account with child nodes cannot be converted to ledger,有下级科目(子节点)的科目不能转换为记账科目
Account with child nodes cannot be set as ledger,有子节点的科目不能被设置为记账科目
Account with existing transaction can not be converted to group.,有交易的科目不能被转换为组。
Account with existing transaction can not be deleted,有交易的科目不能被删除
Account with existing transaction cannot be converted to ledger,已关联过账交易的科目不能被转换为记账科目
Account {0} does not belong to company {1},公司{1}科目表中未定义科目{0}
Account {0} does not belong to company: {1},科目{0}不属于公司：{1}
Account {0} does not belongs to company {1},科目{0}不属于公司{1}
Account {0} does not exist,科目{0}不存在
Account {0} does not exists in the dashboard chart {1},统计图表{1}中未包含科目{0}
Account {0} does not exists,科目{0}不存在
Account {0} does not match with Company {1} in Mode of Account: {2},科目{0}与科目模式{2}中的公司{1}不符
Account {0} does not match with Company {1},科目{0}与公司{1}不符
Account {0} has been entered multiple times,科目{0}已多次输入
Account {0} is added in the child company {1},子公司{1}中添加了科目{0}
Account {0} is frozen,科目{0}已冻结
Account {0} is invalid. Account Currency must be {1},科目{0}状态为失效。科目货币必须是{1}
Account {0}: Parent account {1} can not be a ledger,科目{0}：父(上级)科目{1}不能是记账科目
Account {0}: Parent account {1} does not belong to company: {2},科目{0}的上级科目{1}不属于公司{2}
Account {0}: Parent account {1} does not exist,科目{0}的上级科目{1}不存在
Account {0}: You can not assign itself as parent account,科目{0}不能是自己的上级科目
Account,科目
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,<b>{0}</b>是在建工程科目，不能通过日记账凭证更新
Account: {0} can only be updated via Stock Transactions,科目{0}只能通过库存相关业务更新
Account: {0} is not permitted under Payment Entry,收付款凭证中不能使用科目{0} 
Account: {0} with currency: {1} can not be selected,账号：{0}币别：{1}不能选择
Accountant,会计
Accounting Details,会计信息
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,请为资产科目{1}输入辅助核算<b>{0}</b>
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,请为损益科目{1}输入辅助核算<b>{0}</b>
Accounting Dimension Detail,辅助核算信息
Accounting Dimension Filter,辅助核算过滤
Accounting Dimension,辅助核算
Accounting Dimensions,辅助核算
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,以下角色以外的用户不允许新增或修改此日期之前的会计凭证,
Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,日记账凭证已取得货币{0}为公司{1}。请选择一个应收或应付账户币别{0}。
Accounting Entries,会计分录
Accounting Entry for Asset,资产会计分录
Accounting Entry for Stock,库存会计分录
Accounting Entry for {0}: {1} can only be made in currency: {2},会计分录为{0}：{1}只能在货币做：{2}
Accounting journal entries.,会计记账凭证。
Accounting Ledger,会计凭证
Accounting Masters,会计基础资料
Accounting Period overlaps with {0},会计期间与{0}重叠
Accounting Period,会计期间
Accounting Reports,会计报表
Accounting Statements,会计报表
Accounting,会计
Accounts Browser,科目列表
Accounts Closing,会计关账
Accounts Frozen Till Date,冻结记账截止日,
Accounts Frozen Upto,科目被冻结截止日
Accounts Manager,会计经理
Accounts Payable Ageing,应付账龄
Accounts Payable Summary,应付账款汇总表
Accounts Payable,应付账款
Accounts Receivable Ageing,应收账龄
Accounts Receivable Credit Account,应收账款备抵科目
Accounts Receivable Discounted Account,应收账款贴现科目
Accounts Receivable Summary,应收账款汇总
Accounts Receivable Unpaid Account,应收账款未付科目
Accounts Receivable,应收账款
Accounts Settings,会计设置
Accounts table cannot be blank.,科目表不能为空。
Accounts to Merge,待合并科目
Accounts User,会计
Accounts,会计
accounts-browser,账户浏览器
Accrual Journal Entry for salaries from {0} to {1},从{0}到{1}的薪资预提日记账凭证
Accumulated Depreciation - ,累计折旧
Accumulated Depreciation Account,累计折旧科目
Accumulated Depreciation Amount,累计折旧额
Accumulated Depreciation as on,累计折旧
Accumulated Depreciation,累计折旧
Accumulated Monthly,每月累计
Accumulated Values in Group Company,集团公司累计金额
Accumulated Values,累积值
Achieved ({}),达到（{}）
Achieved,已实现
Achievement,获奖情况
Acquisition Date,购买日期
Action / Route,操作 / 网址路径,
Action Doctype,操作单据类型
Action Document,操作
Action Failed,操作失败
Action Field,操作字段
Action if Accumulated Monthly Budget Exceeded on Actual,超累计月度预算时的控制措施
Action if Accumulated Monthly Budget Exceeded on MR,超累计月度预算时针对物料需求的控制措施
Action if Accumulated Monthly Budget Exceeded on PO,超累计月度预算时针对采购订单的控制措施
Action if Annual Budget Exceeded on Actual,超年度预算时的控制措施
Action if Annual Budget Exceeded on MR,超年度预算时针对物料需求的控制措施
Action if Annual Budget Exceeded on PO,超年度预算时针对采购订单的控制措施
Action if Quality inspection is not submitted,质检单未提交时采取的控制措施
Action If Quality Inspection Is Rejected,质检被拒的措施
Action if Same Rate is Not Maintained Throughout Sales Cycle,销售流程未使用相同价格时的控制措施
Action If Same Rate is Not Maintained,不使用相同价格系统控制措施
Action Initialised,控制措施已启动
Action Name,操作名称
Action Timeout (Seconds),操作超时（秒）
Action Type,操作类型
Action,操作
Actions performed,已执行的操作
Actions,操作
Active Customers,活跃客户
Active Domains,已启用的行业
Active Leads / Customers,活跃线索/客户
Active Menu,活动菜单
Active Sessions,活动会话
Active,生效
Activities,活动
Activity Cost exists for Employee {0} against Activity Type - {1},员工{0}的作业类型 -  {1}成本已存在
Activity Cost per Employee,员工作业成本
Activity Cost,作业成本
Activity Date,日期
Activity log of all users.,所有用户的活动日志。
Activity Log,用户操作日志
Activity Name,作业名称
Activity Type,作业类型
Activity,活动
Actual Amount,实际金额
Actual Batch Quantity,实际批号数量
Actual Cost,实际成本
Actual Date,实际日期
Actual Delivery Date,实际交货日期
Actual End Date (via Time Sheet),实际结束日期（工时表）
Actual End Date,实际结束日期
Actual End Time,实际结束时间
Actual Operating Cost,实际工费成本
Actual Operation Time,实际工序时间
Actual Qty (at source/target),实际数量（源/目标）
Actual Qty After Transaction,交易过账后实际数量
Actual qty in stock,实际库存数量
Actual Qty is mandatory,实际数量是必须项
Actual Qty {0} / Waiting Qty {1},实际数量{0} /在途数量{1}
Actual Qty,实际数量
Actual Qty: Quantity available in the warehouse.,实际数量：仓库中的可用数量。
Actual Quantity,实际数量
Actual Start Date (via Time Sheet),实际开始日期（工时表）
Actual start date and actual end date is mandatory,实际开始日期和实际结束日期必须填写
Actual start date must be less than actual end date,实际开始日期必须小于实际结束日期
Actual Start Date,实际开始日期
Actual Start Time,实际开始时间
Actual Time (in Hours via Time Sheet),实际工时(工时表小时数)
Actual Time (in hours),实际时间(小时)
Actual Time and Cost,实际时间和成本
Actual type tax cannot be included in Item rate in row {0},实际税额不能包含在第{0}行的物料单价中
Actual,实际
Add / Edit Prices,添加/编辑价格
Add / Edit Taxes and Charges,添加/编辑税金及费用
Add / Manage Email Accounts.,添加/管理电子邮箱账号。
Add / Manage Email Domains.,添加/管理电子邮箱。
Add / Update,添加/更新
Add a column,添加列
Add a comment,添加评论
Add A Few Customers,添加几个客户
Add A Few Products You Buy Or Sell,添加几个需采购或销售的物料
Add A Few Suppliers,添加几个供应商
Add a new address,添加新地址
Add a New Role,创建新角色
Add A New Rule,创建新规则
Add a new section,添加新分区
Add a tag ...,添加标签...
Add a {} Chart, 添加一个 {} 图表
Add all roles,添加所有角色
Add All Suppliers,添加所有供应商
Add Another Comment,添加另一个评论
Add Attachment,添加附件
Add Blog Category,新增博客类别
Add cards or custom sections on homepage,在主页上添加卡片或自定义栏目
Add Chart to Dashboard,添加图表至数据面板
Add Child,添加子项
Add code as &lt;script&gt;,添加为script标签
Add Column,添加列
Add Comment,添加评论
Add Contact,增加联系人
Add Contacts,添加联系人
Add Corrective Operation Cost in Finished Good Valuation,入库成品成本价含返工工序成本
Add custom field Auto Repeat in the doctype {0},在单据类型{0}中添加自定义字段自动重复
Add custom forms.,创建定制表单。
Add custom javascript to forms.,为表单添加自定义的Java Script。
Add Custom Tags,添加自定义标签
Add Customers,添加客户
Add Discount,折扣
Add Employees to Manage Them,加入的员工来管理它们
Add Employees,添加员工
Add fields to forms.,为表单添加字段。
Add Fields,添加字段
Add Filter By,添加过滤条件
Add Filter,添加过滤条件
Add Filters,添加过滤条件
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,添加谷歌Analytics ID：例如 UA-89XXX57-1。请查看Analytics帮助以获取更多信息。
Add Group,添加分组
Add Item,新增
Add items in the Item Locations table,请在拣货明细表中添加物料,
Add Items,添加物料
Add Lead to Prospect,线索关联意向客户
Add Leads,添加潜在客户
Add Letterhead,添加表头
Add letterhead,添加表头
Add Manually,手动添加
Add meta tags to your web pages,将元标记添加到您的网页
Add more items or open full form,添加多条记录或转到完整表单
Add More,添加更多
Add Multiple Tasks,添加多个任务
Add Multiple,添加多行
Add new line,添加新行
Add New Permission Rule,新建权限规则
Add notes,添加备注
Add Number Card,添加统计数字卡
Add Or Deduct,增加或抵扣
Add or Deduct,添加或扣除
Add Participants,添加参与者
